"filename", "language", "Markdown", "JavaScript", "HTML", "CSS", "JavaScript JSX", "JSON", "XML", "comment", "blank", "total"
"c:\Users\avrag\OneDrive\שולחן העבודה\לימודים\projects\project3 - react\cardify\src\pages\FavoritesPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 76, 0, 0, 0, 6, 82
"c:\Users\avrag\OneDrive\שולחן העבודה\לימודים\projects\project3 - react\cardify\src\pages\HomePage.jsx", "JavaScript JSX", 0, 0, 0, 0, 89, 0, 0, 1, 6, 96
"c:\Users\avrag\OneDrive\שולחן העבודה\לימודים\projects\project3 - react\cardify\src\pages\LoginPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 152, 0, 0, 0, 11, 163
"c:\Users\avrag\OneDrive\שולחן העבודה\לימודים\projects\project3 - react\cardify\src\pages\MyCardsPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 131, 0, 0, 0, 10, 141
"c:\Users\avrag\OneDrive\שולחן העבודה\לימודים\projects\project3 - react\cardify\src\pages\ProfilePage.jsx", "JavaScript JSX", 0, 0, 0, 0, 165, 0, 0, 0, 15, 180
"c:\Users\avrag\OneDrive\שולחן העבודה\לימודים\projects\project3 - react\cardify\src\pages\RegisterPage\RegisterPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 156, 0, 0, 0, 14, 170
"c:\Users\avrag\OneDrive\שולחן העבודה\לימודים\projects\project3 - react\cardify\src\pages\RegisterPage\registerFieldsArray.js", "JavaScript", 0, 132, 0, 0, 0, 0, 0, 0, 1, 133
"c:\Users\avrag\OneDrive\שולחן העבודה\לימודים\projects\project3 - react\cardify\src\pages\SandboxPage\HarryPotterPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 68, 0, 0, 1, 7, 76
"c:\Users\avrag\OneDrive\שולחן העבודה\לימודים\projects\project3 - react\cardify\src\pages\SandboxPage\RRPButton2Partial.jsx", "JavaScript JSX", 0, 0, 0, 0, 7, 0, 0, 1, 1, 9
"c:\Users\avrag\OneDrive\שולחן העבודה\לימודים\projects\project3 - react\cardify\src\pages\SandboxPage\RRPButtonPartial.jsx", "JavaScript JSX", 0, 0, 0, 0, 8, 0, 0, 0, 0, 8
"c:\Users\avrag\OneDrive\שולחן העבודה\לימודים\projects\project3 - react\cardify\src\pages\SandboxPage\ReRenderPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 20, 0, 0, 1, 2, 23
"c:\Users\avrag\OneDrive\שולחן העבודה\לימודים\projects\project3 - react\cardify\src\pages\SandboxPage\SandboxPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 25, 0, 0, 0, 4, 29
"c:\Users\avrag\OneDrive\שולחן העבודה\לימודים\projects\project3 - react\cardify\src\pages\SandboxPage\UseMemo.jsx", "JavaScript JSX", 0, 0, 0, 0, 26, 0, 0, 0, 1, 27
"c:\Users\avrag\OneDrive\שולחן העבודה\לימודים\projects\project3 - react\cardify\src\reportWebVitals.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\avrag\OneDrive\שולחן העבודה\לימודים\projects\project3 - react\cardify\src\routes\LoggedProtectedRoute.jsx", "JavaScript JSX", 0, 0, 0, 0, 14, 0, 0, 0, 5, 19
"c:\Users\avrag\OneDrive\שולחן העבודה\לימודים\projects\project3 - react\cardify\src\routes\PayloadProtectedRoute.jsx", "JavaScript JSX", 0, 0, 0, 0, 19, 0, 0, 0, 5, 24
"c:\Users\avrag\OneDrive\שולחן העבודה\לימודים\projects\project3 - react\cardify\src\routes\ROUTES.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 0, 1, 15
"c:\Users\avrag\OneDrive\שולחן העבודה\לימודים\projects\project3 - react\cardify\src\routes\Router.jsx", "JavaScript JSX", 0, 0, 0, 0, 46, 0, 0, 5, 9, 60
"c:\Users\avrag\OneDrive\שולחן העבודה\לימודים\projects\project3 - react\cardify\src\setupTests.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 4, 1, 6
"c:\Users\avrag\OneDrive\שולחן העבודה\לימודים\projects\project3 - react\cardify\src\store\DarkMode.js", "JavaScript", 0, 15, 0, 0, 0, 0, 0, 0, 5, 20
"c:\Users\avrag\OneDrive\שולחן העבודה\לימודים\projects\project3 - react\cardify\src\store\auth.js", "JavaScript", 0, 24, 0, 0, 0, 0, 0, 0, 3, 27
"c:\Users\avrag\OneDrive\שולחן העבודה\לימודים\projects\project3 - react\cardify\src\store\bigPie.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Users\avrag\OneDrive\שולחן העבודה\לימודים\projects\project3 - react\cardify\src\utils\_imgForAvatar.js", "JavaScript", 0, 18, 0, 0, 0, 0, 0, 1, 2, 21
"c:\Users\avrag\OneDrive\שולחן העבודה\לימודים\projects\project3 - react\cardify\src\utils\recofigurationUser.js", "JavaScript", 0, 18, 0, 0, 0, 0, 0, 0, 1, 19
"c:\Users\avrag\OneDrive\שולחן העבודה\לימודים\projects\project3 - react\cardify\src\utils\reconfigurationCard.js", "JavaScript", 0, 18, 0, 0, 0, 0, 0, 0, 1, 19
"c:\Users\avrag\OneDrive\שולחן העבודה\לימודים\projects\project3 - react\cardify\src\validation\feildValidation.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 2, 9
"Total", "-", 3, 462, 17, 19, 2481, 18470, 1, 49, 267, 21769
